sentimen,tweet,clean_tweet
-1,lagu bosan apa yang aku save ni huhuhuhuhuhuhuhuhuhuuuuuuuuuuuuuu,lagu bosan save ni huhuhuhuhuhuhuhuhuhuuuuuuuuuuuuuu
-1,kita lanjutkan saja diam ini hingga kau dan aku mengerti tidak semua kebersamaan harus melibatkan hati ,lanjut diam kau erti sama libat hati
1,doa rezeki tak putus inna haa zaa larizquna maa lahu min na fadesungguhnya ini ialah pemberian kami kepada kamu p ,doa rezeki putus inna haa zaa larizquna maa lahu min na fadesungguhnya beri p
1,makasih loh ntar kita bagi hasil aku 99 9 sisanya buat kamu,makasih loh ntar hasil sisa
-1,aku tak faham betul jenis orang malaysia yang tak reti nak sangkut balik hose tu aku geli bodoh nak pegang ,faham jenis orang malaysia ret nak sangkut hose tu geli bodoh nak pegang
0,barusan liat tulisan di belakang truk rela injek kopling demi kamu bisa shopping ,barusan liat tulis truk rela injek kopling shopping
-1,cerita dia macam ni mamat ni hari2 aku nampak keluar masuk cimb ceria ja tapi hari ni aku tengok muka dia masam aku p ,cerita ni mamat ni nampak masuk cimb ceria ja ni tengok muka masam p
1,ya aku akan menjadi satu satunya bukan nomor satu tetapi satu satunya,ya satu nomor satu
-1,aku aja capek sama diriku sendiri apalagi kamu maaf ya ' ,aja capek diri maaf ya
-1,aku cuba nak amalkan sikap pergi mampus tapi sayang aku gagal sebab aku jenis mudah kesian dan mudah memaafkan ,cuba nak amal sikap pergi mampus sayang gagal jenis mudah kesi mudah maaf
0,her itu lho miss kevin sama keven rebutan gimbot ya wis aku beli 2 ae sambil nunjuk the twins yg asik main ipad masin ,her lho miss kevin keven rebut gimbot ya wis beli ae nunjuk the twins yg asik main ipad masin
0,iya rep gatau aku masih kelas 4 sd ehh di block ,iya rep gatau kelas sd ehh block
0,aku mohon tepatilah janjimu penantiancintaeps19,mohon tepat janji penantiancintaeps
0,bukan beria nk kahwin sbb gatal celah kangkang tp penat bila balik kg org anggap aku ni bujang takde kerja and ser ,ria nk kahwin sbb gatal celah kangkang tp penat kg org anggap ni bujang takde kerja and ser
0,aku ingatkan habanero paling pedas rupanya ada 10 kali ganda yg lagi pedas gila ,ingat habanero pedas kali ganda yg pedas gila
0,aku tengok drama cinta bukan kristalatu conversation anak dengan bapak bapak iyeee sekarang semua perempuan n ,tengok drama cinta kristalatu conversation anak iyeee perempuan n
1,i dont know why but these zikir sangat membantu aku pon dapat hasil dari orang retweetambil usaha sambil doa insha alla ,i dont know why but these zikir bantu pon hasil orang retweetambil usaha doa insha alla
-1,commitmentetakat kehulu hilir together tapi tak put effort nak kahwin baik tinggalkan je bazir masa ,commitmentetakat hulu hilir together put effort nak kahwin tinggal je bazir
1,aah kamu aja mas aku lebih suka diayomi ,aah aja mas suka ayom
0,yg aku butuh interaksi dari 95l 99l yuk yg line segitu kuy mutualan nanti ku follow tapi auto followback ok rt aja ,yg butuh interaksi l l yuk yg line segitu kuy mutualan ku follow auto followback ok rt aja
0,kau dah tak streak dengan aku pun ,kau dah streak
0,yg selama ini nunggun video dari aku nih retweet yg mau full ,yg nunggun video nih retweet yg full
1,mau bantu aku nabung ,bantu nabung
-1,kamu jahat dubu lt ,jahat dubu lt
0,tak kisah pun bf ade kawan perempuan sebab aku pun ade kawan laki tapi kalau over nak ngadu nak cite itu ini send ga ,kisah bf ade kawan perempuan ade kawan laki over nak ngadu nak cite send ga
0,high ,high
0,nanti malam ada undangan opening di hungerbelt spazio temani aku laaaahhh siiisssss ,malam undang opening hungerbelt spazio teman laaaahhh siiisssss
-1,aku nak tanya lah apa perasaan korang bila simpan duit dalam tabung kemudian anai2 makan duit tu ,nak asa korang simpan duit tabung ana makan duit tu
1,tak peduli seperti apa hidupmu kamu selalu punya pilihan untuk melihat dari sisi baiknya atau sisi buruknya ,peduli hidup pilih sisi baik sisi buruk
1,aku dah tahu macam mana nak bagi pengantin gelak natural hahahahahahahahahahaha ,dah nak pengantin gelak natural hahahahahahahahahahaha
0,aku tambah lagi ia,
1,cara nak mintak maaf ada 3 1 aku minta maaf 2 aku mengaku salah aku 3 apa yang boleh aku buat untuk betulkan ba ,nak mintak maaf maaf aku salah betul ba
0,sebenarnya ramai sifu2 property approach aku utk join kelas investment etcemua cerita beli rumah murah dan sewakan ,ramai sifu property approach utk join kelas investment etcemua cerita beli rumah murah sewa
-1,kalo gebetan kamu ngga pernah buang ludah di jalan pacarin ,kalo gebetan ngga buang ludah jalan pacarin
-1,jangan dekat dengan aku aku tengah susah nanti aku senang aku panggil ,susah senang panggil
1,yuk netweetjen dibantu,yuk netweetjen bantu
1,ya allah ya tuhanku kau lindungilah kedua ibu bapaku disaat aku berjauhan dengan mereka ,ya allah ya tuhan kau lindung bapa saat jauh
0,lecturer aku suruh tampal note kat tempat yang aku selalu tengok takkan aku nak tampal kat muka crush pulak,lecturer suruh tampal note kat tengok tak nak tampal kat muka crush pulak
0,20thn aku pengen nikah umur 23 sm orang yang gini gini gini 23thn blm ada yg nglamar 24thn si ,thn ken nikah umur sm orang gin gin gin thn blm yg nglamar thn si
0,terdengar perbualan budak sekolah aku nk amik a level aku nk amik asasi asasi lagi ok dari matrik kan aa ,dengar bual budak sekolah nk amik a level nk amik asasi asasi ok matrik aa
0,cara outin diri sendiri gimana sih yang bisa outin aku aku bayar deh g ,outin gimana sih outin bayar deh g
