Komentar,Kategori
 kaka tidur yaa  udah pagi  gaboleh capek  ,Non-bullying
 makan nasi padang aja begini badannya ,Non-bullying
 yang aku suka dari dia adalah selalu cukur jembut sebelum manggung ,Bullying
 hai kak isyana aku ngefans banget sama kak isyana aku paling suka lagu kak isyana itu lagu tetap didalam jiwa ,Non-bullying
 manusia apa bidadari sih herann deh cantik terus     ,Non-bullying
  ayu kinantii isyan skrg berubah ya   baju nya nakal ,Bullying
 gemesnya isyan kayak tango  berlapis lapis ciaaaa ,Non-bullying
 makin jelek aja anaknya  padahal ibu ayahnya cakep  ,Bullying
 kok anaknya kayak udah tua gitu ya mukanya kk tasya ,Bullying
 muka anak nya ko tua banget yaa   gk ngegemesin gk ada lucu nya ,Bullying
 muka nya muka kolot wkwk bukan muka bayi  lucu gt ,Bullying
 udah gila sekarang ini orang wkwk  udah jomblo jadi psikolog ga laku  ya jadilah seperti itu ,Bullying
 lo sintingnya udah tingkat dewa ,Bullying
 sepertinya lutfi setelah putus dgn salsa seperti orang stress ,Bullying
 anak tolol ini mulai aktif ya bund ,Bullying
 bisa mati aja ga  gedeg gua liat lu  anjim ,Bullying
 woy lutfi asu   sok asik lo anjing   ,Bullying
 apasih kontol berantem aja lah ayo bngst  lutfiagizal ,Bullying
 ibu kamu pelakor plus hamil di luar nikah ya  pantesan anaknya kyk gini modelannya ,Bullying
 anaknya udh pinter  maknya yang kelempengan   berasa masih baby  tingginya azka aj melebihi mamanya   ,Bullying
 anak yg cerdas terbentuk dr pola asuh sekaligus pola didik ortu yg cerdas pula sih pada saranya  sesimple itu ,Non-bullying
 setengah iri setengah jadi motivasi ini ,Non-bullying
 ancur hidup lu kalau sama dia  sumpah   ,Bullying
 serem banget muka lo mel kayak ayam potong merah banget ,Bullying
 yaudah jd pengusaha kuliner aja gausah artis  makanannya emang bikin ngiler sih wkwkw ,Non-bullying
 kamu emang cocoknya jadi pengusaha kuliner udah fixs  semoha lancat terusssss ,Non-bullying
 tak sejelek image owner ya    artis ups bukan artis  hallo secara tidak langsung semua orang itu tau image lu jelek gentong  ,Bullying
 apaan sih gak jelas hidupnya ,Bullying
 sebelum aku unfoll  aku mau bilang najissss ,Bullying
 muka lu sensual tapi norak kenapa dah ,Bullying
 udah gk jaman ngebully orang hey netizen mending ngaca dari kekurangan sendiri ,Non-bullying
 kalau pas penempatannya  sebenernya kamu imut banget loh mel  ,Non-bullying
 cakep kaga jelek iya hahah ,Bullying
 jari jari kaki kayak jarinya tukang panggul ,Bullying
 kakinya kek lagi hamil tua ya bun  semacam kaki gajah  ayuugsia ,Bullying
 suka heran sama yg ngehina fisik   ternyata bener ya kita semua pendosa dengan cara kita sendiri   ,Non-bullying
 ini diedit biar langsing padahal mah klo live bomber badannya ,Bullying
 kakinya gedong sayyy kek kaki jantan  upp kan dia suka berbaur ama warwerwor   mahluk astral   yg kakinya gedong ,Bullying
 bagusan foto pakai masker drpd gak pakai masker ,Non-bullying
  rosameldianti  kakak foto sebelum ini  kenapa memeknya keliatan tebal     memeknya kakak lagi bengkak yah    ,Bullying
 bra nya kedodoran kak make ukuran gede yaa ,Bullying
 nah ini cantik seneng  usahanya membuahkan hasil  semangat ya mel semoga menjadi pribadi yang lebih baik lagi ,Non-bullying
