Komentar,Kategori,Preprocessed Text,Sentiment
 kaka tidur yaa  udah pagi  gaboleh capek  ,Non-bullying,kaka tidur yaa udah pagi gaboleh capek,non-bulliying
 makan nasi padang aja begini badannya ,Non-bullying,makan nasi padang aja badannya,non-bulliying
 yang aku suka dari dia adalah selalu cukur jembut sebelum manggung ,Bullying,suka cukur jembut manggung,bulliying
 hai kak isyana aku ngefans banget sama kak isyana aku paling suka lagu kak isyana itu lagu tetap didalam jiwa ,Non-bullying,hai kak isyana ngefans banget kak isyana suka lagu kak isyana lagu didalam jiwa,non-bulliying
 manusia apa bidadari sih herann deh cantik terus     ,Non-bullying,manusia bidadari sih herann deh cantik,non-bulliying
  ayu kinantii isyan skrg berubah ya   baju nya nakal ,Bullying,ayu kinantii isyan skrg berubah ya baju nya nakal,non-bulliying
 gemesnya isyan kayak tango  berlapis lapis ciaaaa ,Non-bullying,gemesnya isyan kayak tango berlapis lapis ciaaaa,non-bulliying
 makin jelek aja anaknya  padahal ibu ayahnya cakep  ,Bullying,jelek aja anaknya ayahnya cakep,bulliying
 kok anaknya kayak udah tua gitu ya mukanya kk tasya ,Bullying,anaknya kayak udah tua gitu ya mukanya kk tasya,bulliying
 muka anak nya ko tua banget yaa   gk ngegemesin gk ada lucu nya ,Bullying,muka anak nya ko tua banget yaa gk ngegemesin gk lucu nya,bulliying
 muka nya muka kolot wkwk bukan muka bayi  lucu gt ,Bullying,muka nya muka kolot wkwk muka bayi lucu gt,bulliying
 udah gila sekarang ini orang wkwk  udah jomblo jadi psikolog ga laku  ya jadilah seperti itu ,Bullying,udah gila orang wkwk udah jomblo psikolog ga laku ya,bulliying
 lo sintingnya udah tingkat dewa ,Bullying,lo sintingnya udah tingkat dewa,bulliying
 sepertinya lutfi setelah putus dgn salsa seperti orang stress ,Bullying,lutfi putus dgn salsa orang stress,bulliying
 anak tolol ini mulai aktif ya bund ,Bullying,anak tolol aktif ya bund,bulliying
 bisa mati aja ga  gedeg gua liat lu  anjim ,Bullying,mati aja ga gedeg gua liat lu anjim,bulliying
 woy lutfi asu   sok asik lo anjing   ,Bullying,woy lutfi asu sok asik lo anjing,bulliying
 apasih kontol berantem aja lah ayo bngst  lutfiagizal ,Bullying,apasih kontol berantem aja ayo bngst lutfiagizal,bulliying
